player_id,name,standard_rating,blitz_rating,gender,rapid_rating,title
1960636,"Peres, Rodrigo Tristao Da Fonte",1612,,Male,,
521040290,"SY, Sabella Rae T.",1723,,Male,,
115108255,"FERANCO, Psyrene Metatron",1646,,Male,,
521000573,"ASUNCION, Jayden Charles",1641,,Male,,
521074810,"ABLOG, Joel James",0,,Male,,
521075140,"CENAS, Joshua Kiel",0,,Male,,
521079579,"CERBITO, Jhonrie Joseph V",0,,Male,,
24195995,"Макович, Андрей Адрианович",,,Male,2289,
4197011,"Коженков, Евгений Андреевич",,,Male,2196,
4125460,"Провоторов, Александр Петрович",,,Male,2193,
34406867,"Мурашко, Василий Антонович",,,Male,1979,
24102571,"Широков, Сергей Александрович",,,Male,1916,
24130184,"Полковников, Николай Алексеевич",,,Male,1902,
55808514,"Захарченко, Роман Валерьевич",,,Male,1857,
55755755,"Гудков, Леонид Максимович",,,Male,1806,
34399178,"Кривец, Георгий Евгеньевич",,,Male,1801,
55653570,"Блинов, Андрей Олегович",,,Male,1797,
34386130,"Калугин, Евгений Васильевич",,,Male,1781,
24232483,"Пак, Алексей",,,Male,1763,
54141095,"Шумовский, Николай Иванович",,,Male,1738,
540039757,"Иванов, Дмитрий Владимирович",,,Male,1724,
34112178,"Буданов, Алексей Александрович",,,Male,1717,
34461051,"Пенчик, Артём Антонович",,,Male,1685,
34331603,"Осинягов, Егор Валерьевич",,,Male,1675,
55608230,"Мурашко, Иван Антонович",,,Male,1673,
54131553,"Жестянников, Валерий Евгеньевич",,,Male,1643,
522087354,"Кудрявцев, Роман Александрович",,,Male,1612,
540015572,"Иванов, Денис Дмитриевич",,,Male,1585,
55823580,"Джабаров, Игорь Тофикович",,,Male,1582,
54122023,"Туголуков, Вячеслав Васильевич",,,Male,1554,
55756883,"Купцов, Владимир Андреевич",,,Male,1538,
13326490,"Геворкян, Тигран Геворгович",,,Male,1466,
55755160,"Михайлов, Александр Сергеевич",,,Male,0,
24239267,"Сушнов, Сергей Владимирович",,,Male,0,
42248698,"Popescu, Zaharia",1407,,Male,,
42239001,"Dragan, Dragos",1057,,Male,,
42253969,"Merca, Ionut-Bogdan",916,,Male,,
42236452,"Lazuran, Gabriel-Octavian",878,,Male,,
42248620,"Breaz, Eric-Alexandru",848,,Male,,
42247551,"Radu, Alexandru-Ioan R.",826,,Male,,
42240786,"Csizmas, Tabita-Kincso",804,,Female,,
42249350,"Fasolillo, Luigi",790,,Male,,
42247519,"Abrudan, David-Mihai",735,,Male,,
42260272,"Curea, Luca",719,,Male,,
42258286,"Fenesan, Petru-Aron",714,,Male,,
42260221,"Pop, Darius-Gabriel",701,,Male,,
13721895,"Saduakassov, Duman",,1980,Male,,
13726820,"Abuzyarov, Arlan",,1902,Male,,
447068620,"Michshenko, Evgeniy",,1872,Male,,
447043253,"Subbotin, Alex",,1751,Male,,
447077883,"Kaldybayev, Mugammar",,1738,Male,,
13715330,"Usmanov, Madi",,1736,Male,,
13760963,"Dadambayev, Oralbek",,1726,Male,,
13707370,"Shakarimov, Erzhan",,1713,Male,,
447025492,"Temirtassov, Dias",,1707,Male,,
13707272,"Demezhanov, Tuleubek",,1696,Male,,
447077921,"Polevik, Vasiliy",,1687,Male,,
